time,flow,salt,temp,TRC_tr1,TRC_age,NCS_ss1,OXY_oxy,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,PHS_frp_ads,OGM_doc,OGM_poc,OGM_don,OGM_pon,OGM_dop,OGM_pop,OGM_docr,OGM_donr,OGM_dopr,OGM_cpom,PHY_grn
2023-01-02 12:00:00,0.0133,0.501858,24.52059,1,0,9.737013,2110.280429,0,3.495555,0.028306,0.337977,0.021926,108.258138,65.366633,3.619855,2.468783,0.250548,0.165502,974.864482,32.135533,2.049715,0.99104,9.709398
2023-01-03 12:00:00,0.013,0.502383,24.390873,1,0,9.691134,2112.502581,0,3.811341,0.030664,0.339545,0.021866,107.910367,60.8054,3.618232,2.34419,0.248866,0.154905,974.841524,32.134776,2.049667,0.98945,9.777874
2023-01-04 12:00:00,0.023,0.505386,23.683871,1,0,9.388641,2229.336482,0,5.610332,0.044125,0.348713,0.021454,105.338914,35.949954,3.595752,1.660341,0.243157,0.099606,972.376416,32.058976,2.052936,1.346417,10.146286
2023-01-05 12:00:00,0.0172,0.508024,23.446581,1,0,9.109831,2303.722749,0,7.002064,0,0.356523,0.021184,102.111984,22.121398,3.547299,1.263233,0.238896,0.067866,969.54362,31.971948,2.056814,1.760669,10.565181
2023-01-06 12:00:00,0.0216,0.510645,23.47438,1,0,8.835468,2070.892936,0,8.394929,0,0.36521,0.021059,98.153641,13.272135,3.479809,1.019166,0.232434,0.045813,967.480115,31.908443,2.059467,2.048329,10.901542
2023-01-07 12:00:00,0.0279,0.511493,23.9495,1,0,8.62792,2007.917721,0,9.927668,0,0.375533,0.021345,94.083127,9.617846,3.422374,1.004667,0.241432,0.046756,962.78477,31.763319,2.062868,2.673808,10.603721
2023-01-08 12:00:00,0.0081,0.513033,23.940556,1,0,8.279063,2063.578581,0,9.824583,0,0.385422,0.021017,89.768481,5.243934,3.358545,0.81528,0.244749,0.032855,959.274117,31.654366,2.064456,3.087504,11.665915
2023-01-09 12:00:00,0.0223,0.514798,24.223829,1,0,8.026125,2002.177621,0,10.376066,0,0.395242,0.021011,85.392299,3.352322,3.293381,0.779117,0.240267,0.025864,958.334974,31.624212,2.062499,3.119586,12.570601
2023-01-10 12:00:00,0.0176,0.508485,24.659461,1,0,7.733376,1935.538123,0,10.80824,0,0.414275,0.021402,81.354278,5.221573,3.313351,1.013248,0.251766,0.029397,949.17202,31.255804,2.038469,4.051863,12.777764
2023-01-11 12:00:00,0.0147,0.471279,24.034437,1,0,7.209831,2133.159197,0,11.337209,0.08622,0.451467,0.021478,77.544365,14.362986,3.551352,2.024181,0.245894,0.042817,921.728142,29.957879,1.88927,5.365446,11.976034
2023-01-12 12:00:00,0.0157,0.43984,25.043747,1,0,6.553741,2146.917376,0,9.874938,0,0.500458,0.022082,75.006917,14.930235,3.884562,2.122803,0.247061,0.04001,907.783962,29.032321,1.757174,6.595469,16.21833
2023-01-13 12:00:00,0.0136,0.415449,25.118438,1,0,6.132143,2098.61917,0,9.720218,0,0.535156,0.022125,72.412859,15.558376,4.093928,2.224071,0.249307,0.040697,890.642835,28.18304,1.658949,7.609689,17.627813
2023-01-14 12:00:00,0.0198,0.395965,25.587391,1,0,5.78952,2024.566614,0,9.661893,0,0.568905,0.022412,70.475953,15.655108,4.284535,2.289795,0.244056,0.039985,882.408082,27.634694,1.577499,8.300101,19.330594
2023-01-15 12:00:00,0.0325,0.380498,25.371709,1,0,5.485508,2306.590443,0,9.405865,0,0.608881,0.022637,68.769374,14.608287,4.47993,2.307202,0.252086,0.040565,875.958521,27.176177,1.514832,9.077635,21.43903
2023-01-16 12:00:00,0.0234,0.36449,23.690223,1,0,5.196546,2228.168341,0,9.331807,0.004821,0.643008,0.0219,66.942379,14.408304,4.644552,2.32492,0.261786,0.039811,863.871617,26.572397,1.446769,9.809343,23.550607
2023-01-17 12:00:00,0.0118,0.350637,23.314883,1,0,4.950333,2133.717667,0,9.432713,0.065911,0.672016,0.02164,65.548312,14.220933,4.787945,2.287173,0.271798,0.039143,855.644663,26.120325,1.387714,10.411545,25.65088
